Reference,ParentReference,Type,Order,Description:en-gb,InventoryNo,Parent Node ID,Caption:en-gb,DateCaption:en-gb,"Relevant Person title caption (for object, assets only)",Relevant person Node ID,Date:none,y-position,Text:en-gb,"Associated Hero Asset type (still, video, interactive, rotation)",Hero asset filename,Interactive info???,...
science-museum.net,,TPGraphNet,,,,,,,,,,,,,,,
science-museum.net.nodes,science-museum.net,TPGraphNet.NodesCollection,,,,,,,,,,,,,,,
node.journey-intro.0,,node.journey-intro,,Spectacle Intro,,,Spectacle,,,"
",,,"<p>Sitting amongst the many heirlooms of science in the Science Museum are some ornamental imposters -  2 snuff boxes, a fan, a plate and a couple of teapots.  Have they ever been used in a lab? No.  Do they have any scientific function whatsoever? No.  Are they in the wrong museum.  Not at all.  They say more about science than any instrument could ever do.  They are a testament to the power of science to thrill us, inspire us and take us all on a journey.  </p>
<p>
These ornaments are souvenirs from some very public experiments - when the Montgolfier [chk] brothers first started developing balloon flight, their tests were carried out in the pleasure gardens of Paris.  These public spectacles so amazed the onlookers that they spawned a craze of commemorative souvenirs known as “Ballooniana” recording the first ascents and then later even the first balloon fatalities. 
</p><p>
Science is not always done behind closed doors.  It has the power to hold people in awe and sometimes the best way to move forward, is to take the world with you.   This is a journey into the side of science that likes to show off.  From the candlelit soirees of the 18th philosophers in the living rooms of the privileged few to the mass televised events for the living rooms of everyone on earth.
</p>",,,,
node.ballooniana,,node.artifact,,"Ballooniana, selection of objects",1946-0150,node.journey-intro.0,Ballooniana,1767,Penn-Gaskell collection,node.pen-gaskell,1767,,"TEMP Object text - model of balloon, in glass and metal, 10', containing 4 scent bottles. French. With wooden travelling case.The objects, from the Penn-Gaskell collection, are: a model of a balloon which opens up to reveal four scent bottles, two teapots, two snuff boxes and an ornamental plate. Public balloon ascents began to be held in pleasure gardens after the first successful balloon ascents in Paris in 1783.",rotatable,node.ballooniana.jpg,...,
node.balloon-crash-snuffbox,,node.artifact,,Balloon Crash snuffbox,1946-129,node.journey-intro.0,Balloon crash snuffbox,1785,Pilatre de Rozier and Jules Romain ,"node.pilatre-de-rozier
node.jules-romain",1785,," One snuff box, French, ivory. Circular, 3' diameter. Painted lid: Balloon Ascent.On 15th June, 1785, Pilatre de Rozier and Jules Romain attempted to cross the English Channel in a balloon of de Rozier’s design, featuring a hydrogen-filled chamber above a compartment filled with hot air. Unfortunately, about 30 minutes after they took off from Boulogne, the hydrogen in the upper compartment caught fire, almost certainly ignited by a spark of static electricity. The horrified watching crowd saw the balloon and its occupants plummet to earth resulting in de Rozier and Romain becoming ballooning’s first fatalities.",rotatable,node.balloon-crash-snuffbox.jpg,...,
node.pen-gaskell,,node.person,,Pen-Gaskell Collection,,,Pen-Gaskell Collection,Late 18th century,,,1775,,TEMP  text about the collection,still,node.pen-gaskell.jpg,,
node.pilatre-de-rozier,,node.person,,Pilatre de Rozier,,,Pilatre de Rozier,1754-1785,,,1769,,TEMP  bio about him,still,node.pilatre-de-rozier.jpg,,
node.jules-romain,,node.person,,Jules Romain ,,,Jules Romain ,Late 18th century,,,1775,,TEMP  bio about him,still,node.jules-romain.jpg,,
node.apollo-10-test,,node.artifact,,Mini Apollo 10 pic - HOW TO LIST THIS - it should just refer to real apollo 10,,node.journey-intro.0,Apollo 10,,,,,,,,node.apollo-10-test.jpg,,
node.newcomen-engine,,node.artifact,,Newcomen engine screen,1927-1619,,Model Newcomen Engine,1720(c.),Stephen Demainbray,"node.stephen-demainbray
node.george-iii-collection
node.royal-society",1720,,Created by Stephen Demainbray? as a means to demonstrate steam power.  Several were made and some people even commission new ones at vast expense to have one to show off in their houses - even though have no practical application at all.  Such is the kudos in 1720 in having the latest tech in your house. Steam power is the undisputed hot topic of the day.,rotatable,node.newcomen-engine.jpg,,
